Time,GMSL
1880-01-15,-183
1880-02-15,-171.1
1880-03-15,-164.3
1880-04-15,-158.2
1880-05-15,-158.7
1880-06-15,-159.6
1880-07-15,-159.6
1880-08-15,-161.8
1880-09-15,-158.9
1880-10-15,-150.3
1880-11-15,-144.5
1880-12-15,-134.7
1881-01-15,-136.4
1881-02-15,-139.2
1881-03-15,-145.2
1881-04-15,-151.1
1881-05-15,-152.2
1881-06-15,-154.2
1881-07-15,-147.7
1881-08-15,-151.4
1881-09-15,-156
1881-10-15,-165.5
1881-11-15,-167.9
1881-12-15,-169.9
1882-01-15,-167.8
1882-02-15,-162
1882-03-15,-158.8
1882-04-15,-160.6
1882-05-15,-164.5
1882-06-15,-165.2
1882-07-15,-167.3
1882-08-15,-169
1882-09-15,-174.9
1882-10-15,-181.5
1882-11-15,-182.5
1882-12-15,-184.5
1883-01-15,-179.9
1883-02-15,-180
1883-03-15,-172.4
1883-04-15,-172.3
1883-05-15,-164
1883-06-15,-163.6
1883-07-15,-161.1
1883-08-15,-162
1883-09-15,-159.3
1883-10-15,-158.2
1883-11-15,-153.2
1883-12-15,-149.1
1884-01-15,-142.5
1884-02-15,-139.5
1884-03-15,-137
1884-04-15,-135.2
1884-05-15,-136
1884-06-15,-140
1884-07-15,-143.3
1884-08-15,-146.8
1884-09-15,-150.4
1884-10-15,-150.4
1884-11-15,-154
1884-12-15,-149.9
1885-01-15,-153.1
1885-02-15,-148.3
1885-03-15,-145.3
1885-04-15,-142.7
1885-05-15,-143.1
1885-06-15,-142.7
1885-07-15,-148.4
1885-08-15,-143.2
1885-09-15,-146.5
1885-10-15,-141.2
1885-11-15,-143.3
1885-12-15,-145.1
1886-01-15,-147.3
1886-02-15,-152.2
1886-03-15,-146.8
1886-04-15,-142
1886-05-15,-134.7
1886-06-15,-135.4
1886-07-15,-140.8
1886-08-15,-147.7
1886-09-15,-155.1
1886-10-15,-155.2
1886-11-15,-157.9
1886-12-15,-155.8
1887-01-15,-162.2
1887-02-15,-165.8
1887-03-15,-162.9
1887-04-15,-158.8
1887-05-15,-151.9
1887-06-15,-147.1
1887-07-15,-147.3
1887-08-15,-147.5
1887-09-15,-150.6
1887-10-15,-147.5
1887-11-15,-148.8
1887-12-15,-148
1888-01-15,-155.3
1888-02-15,-155.6
1888-03-15,-155
1888-04-15,-155.2
1888-05-15,-154.2
1888-06-15,-151.6
1888-07-15,-149
1888-08-15,-148.5
1888-09-15,-151.5
1888-10-15,-145
1888-11-15,-146
1888-12-15,-146
1889-01-15,-151.1
1889-02-15,-147.4
1889-03-15,-144.3
1889-04-15,-145
1889-05-15,-145.9
1889-06-15,-145.8
1889-07-15,-147
1889-08-15,-147.6
1889-09-15,-151.3
1889-10-15,-153.8
1889-11-15,-157.6
1889-12-15,-157.2
1890-01-15,-152.3
1890-02-15,-151.4
1890-03-15,-140
1890-04-15,-138.1
1890-05-15,-135.3
1890-06-15,-140.2
1890-07-15,-144.2
1890-08-15,-147.8
1890-09-15,-149.4
1890-10-15,-151.8
1890-11-15,-155.9
1890-12-15,-163.9
1891-01-15,-162.9
1891-02-15,-163.9
1891-03-15,-148.1
1891-04-15,-150.8
1891-05-15,-145.4
1891-06-15,-148.4
1891-07-15,-143.8
1891-08-15,-142.2
1891-09-15,-143.2
1891-10-15,-144.5
1891-11-15,-148.2
1891-12-15,-148.8
1892-01-15,-145.8
1892-02-15,-139.3
1892-03-15,-139.8
1892-04-15,-138.6
1892-05-15,-143.1
1892-06-15,-141.6
1892-07-15,-145.8
1892-08-15,-146.6
1892-09-15,-151.7
1892-10-15,-151.5
1892-11-15,-156.3
1892-12-15,-152.4
1893-01-15,-147.5
1893-02-15,-143.8
1893-03-15,-136.7
1893-04-15,-137.9
1893-05-15,-139.2
1893-06-15,-140.5
1893-07-15,-140.7
1893-08-15,-139
1893-09-15,-139
1893-10-15,-140.6
1893-11-15,-145.1
1893-12-15,-145.6
1894-01-15,-148.4
1894-02-15,-147.5
1894-03-15,-149.9
1894-04-15,-148.9
1894-05-15,-152.1
1894-06-15,-152.7
1894-07-15,-154.5
1894-08-15,-154.7
1894-09-15,-157.6
1894-10-15,-153.3
1894-11-15,-151.4
1894-12-15,-140.8
1895-01-15,-138.9
1895-02-15,-134.9
1895-03-15,-140
1895-04-15,-141.4
1895-05-15,-148
1895-06-15,-142.3
1895-07-15,-141
1895-08-15,-137.4
1895-09-15,-139.4
1895-10-15,-132.3
1895-11-15,-135.8
1895-12-15,-138.8
1896-01-15,-148.4
1896-02-15,-158.4
1896-03-15,-155.4
1896-04-15,-150.4
1896-05-15,-144.1
1896-06-15,-135.3
1896-07-15,-138
1896-08-15,-138.9
1896-09-15,-144.2
1896-10-15,-146.9
1896-11-15,-149.7
